manufacturer,part_number,part_type,length,width,height,CSA,UL,preference,description,tag
SCHNEIDER,LR2K0306,Overload,,,,1,1,2,TeSys K Class 10 Overload 0.8-1.2A,
SCHNEIDER,LR2K0307,Overload,,,,1,1,2,TeSys K Class 10 Overload 1.2-1.8A,
SCHNEIDER,LR2K0308,Overload,,,,1,1,2,TeSys K Class 10 Overload 1.8-2.6A,
SCHNEIDER,LR2K0310,Overload,,,,1,1,2,TeSys K Class 10 Overload 2.6-3.7A,
SCHNEIDER,LR2K0312,Overload,,,,1,1,2,TeSys K Class 10 Overload 3.8-5.5A,
SCHNEIDER,LR2K0314,Overload,,,,1,1,2,TeSys K Class 10 Overload 5.5-8A,
SCHNEIDER,LR2K0316,Overload,,,,1,1,2,TeSys K Class 10 Overload 8-11.5A,
SCHNEIDER,LRD01,Overload,,,,1,1,2,TeSys D Class 10 Overload 0.10-0.16A,
SCHNEIDER,LRD02,Overload,,,,1,1,2,TeSys D Class 10 Overload 0.16-0.25A,
SCHNEIDER,LRD03,Overload,,,,1,1,2,TeSys D Class 10 Overload 0.25-0.40A,
SCHNEIDER,LRD04,Overload,,,,1,1,2,TeSys D Class 10 Overload 0.40-0.63A,
SCHNEIDER,LRD05,Overload,,,,1,1,2,TeSys D Class 10 Overload 0.63-1A,
SCHNEIDER,LRD06,Overload,,,,1,1,2,TeSys D Class 10 Overload 1-1.6A,
SCHNEIDER,LRD07,Overload,,,,1,1,2,TeSys D Class 10 Overload 1.6-2.5A,
SCHNEIDER,LRD08,Overload,,,,1,1,2,TeSys D Class 10 Overload 2.5-4A,
SCHNEIDER,LRD10,Overload,,,,1,1,2,TeSys D Class 10 Overload 4-6A,
SCHNEIDER,LRD12,Overload,,,,1,1,2,TeSys D Class 10 Overload 5.5-8A,
SCHNEIDER,LRD14,Overload,,,,1,1,2,TeSys D Class 10 Overload 7-10A,
SCHNEIDER,LRD16,Overload,,,,1,1,2,TeSys D Class 10 Overload 9-13A,
SCHNEIDER,LRD21,Overload,,,,1,1,2,TeSys D Class 10 Overload 12-18A,
ALLEN BRADLEY,800FM-LF7,PushButton,,,,1,1,2,800F Illum Moment Push Button,
ALLEN BRADLEY,800T-A2D1,PushButton,,,,1,1,2,Pushbutton Unit Black,
SCHNEIDER,ZB4BA2,PushButton,,,,1,1,2,"Push Button- Flush, Black",
SCHNEIDER,ZB4BC2,PushButton,,,,1,1,2,"Push Button- 40mm m/Room Head, Black",
SCHNEIDER,ZB4BC4,PushButton,,,,1,1,2,"Push Button- 40mm m/Room Head, Red",
SCHNEIDER,ZB4BC5,PushButton,,,,1,1,2,"Push Button- 40mm m/Room Head, Yellow",
SCHNEIDER,ZB4BL2,PushButton,,,,1,1,2,"Push Button- Extended, Black",
SCHNEIDER,ZB4BL4,PushButton,,,,1,1,2,"Push Button- Extended, Red",
SCHNEIDER,ZB4BS844,PushButton,,,,1,1,2,"Push Button- Twist To Release, Red",
SCHNEIDER,ZB4BW31,PushButton,,,,1,1,2,"Push Button- Illuminated, Flush Operator, White",
SCHNEIDER,ZB4BW33,PushButton,,,,1,1,2,"Push Button- Illuminated, Flush Operator, Green",
SCHNEIDER,ZB4BW34,PushButton,,,,1,1,2,"Push Button- Illuminated, Flush Operator, Red",
SCHNEIDER,ZB4BW36,PushButton,,,,1,1,2,"Push Button- Illuminated, Flush Operator, Blue",
SCHNEIDER,ZB4BW643,PushButton,,,,1,1,2,40mm m/Room Push/Pull Illuminated Estop,
SCHNEIDER,ZB4BZ009,PushButton,,,,1,1,2,Body Mounting Collar,
SCHNEIDER,ZBE101,PushButton,,,,1,1,2,Contact Block- 1 N/O,
SCHNEIDER,ZBE102,PushButton,,,,1,1,2,Contact Block- 1 N/C,
SCHNEIDER,ZBE205,PushButton,,,,1,1,2,"Contact Block- 1 N/O, 1 N/C",
SCHNEIDER,ZBVB1,PushButton,,,,1,1,2,"Light Module- 24VDC/AC, White",
SCHNEIDER,ZBVB3,PushButton,,,,1,1,2,"Light Module- 24VDC/AC, Green",
SCHNEIDER,ZBVB4,PushButton,,,,1,1,2,"Light Module- 24VDC/AC, Red",
SCHNEIDER,ZBVB5,PushButton,,,,1,1,2,"Light Module- 24VDC/AC, Amber",
SCHNEIDER,ZBVB6,PushButton,,,,1,1,2,"Light Module- 24VDC/AC, Blue",
SCHNEIDER,ZBVG3,PushButton,,,,1,1,2,"Light Module- 120AC, Green",
SCHNEIDER,ZBY9320,PushButton,,,,1,1,2,Legend Plate. Emergency Stop 22mm,
ALLEN BRADLEY,1734-AENT,Card,,,,1,1,2,Point I/O Ethernet Network Adapter,PointIO
ALLEN BRADLEY,1734-AENTR,Card,,,,1,1,2,Point I/O Dual Port Network Adapter,PointIO
ALLEN BRADLEY,1734-EP24DC,Card,,,,1,1,2,Point I/O Extension Power Module,PointIO
ALLEN BRADLEY,1734-IB8,Card,,,,1,1,2,Point I/O 8 Point Digital Input Module,PointIO
ALLEN BRADLEY,1734-IB8S,Card,,,,1,1,2,8 Channel Safety Sinking Input Module,PointIO
ALLEN BRADLEY,1734-IE2C,Card,,,,1,1,2,Point I/O 2 Point Analog Input Module,PointIO
ALLEN BRADLEY,1734-IE4CK,Card,,,,1,1,2,,PointIO
ALLEN BRADLEY,1734-IR2,Card,,,,1,1,2,Point I/O 2 Point Rtd Input Module,PointIO
ALLEN BRADLEY,1734-OB8,Card,,,,1,1,2,Point I/O 8 Point Digital Output,PointIO
ALLEN BRADLEY,1734-OB8S,Card,,,,1,1,2,8 Channel Safety Sourcing Output,PointIO
ALLEN BRADLEY,1734-SSI,Card,,,,1,1,2,Point I/O SSI Encoder Module,PointIO
ALLEN BRADLEY,1734-TB,Card,,,,1,1,2,Point I/O Terminal Base,PointIO
ALLEN BRADLEY,1734-TOP,Card,,,,1,1,2,Point I/O Terminal Base,PointIO
ALLEN BRADLEY,1756-IF8,Card,,,,1,1,2,CONTROLLOGIX 8 POINT A/I MODULE,PointIO
ALLEN BRADLEY,1756-IV16,Card,,,,1,1,2,CONTROLLOGIX 16 PT 12/24V DC DIGITAL I/O,PointIO
ALLEN BRADLEY,1756-OF4,Card,,,,1,1,2,CONTROLLOGIX 4 POINT A/O I OR V,PointIO
ALLEN BRADLEY,1756-OW16I,Card,,,,1,1,2,CONTROLLOGIX 16 PT DIGITAL RE,PointIO
ALLEN BRADLEY,1756-PA72,PowerSupply,,,,1,1,2,CONTROLLOGIX AC POWER SUPPLY,
OMRON,S8VK-C06024,PowerSupply,,,,1,1,2,Power Supply 24V 2.5A,
OMRON,S8VK-C12024,PowerSupply,,,,1,1,2,120W Power Supply 24V 5A,
OMRON,S8VK-C24024,PowerSupply,,,,1,1,2,240W Power Supply 24V 10A,
OMRON,S8VK-G12024,PowerSupply,,,,1,1,2,120W Power Supply 24V 5A,
OMRON,S8VK-G24024,PowerSupply,,,,1,1,2,240W Power Supply 24V 10A,
OMRON,S8VK-G48024,PowerSupply,,,,1,1,2,480W Power Supply 24V 20A,
OMRON,S8VKG12024,PowerSupply,,,,1,1,2,Omron 10 Amp power supply,
SOLA,698916,PowerSupply,,,,1,1,2,1.25A 24V Power Supply SVL 1-24-100,
SOLA,699112,PowerSupply,,,,1,1,2,2.1A 24V Power Supply SVL 2-24-100,
SOLA,699115,PowerSupply,,,,1,1,2,4A 24V Power Supply SVL 4-24-100,
SOLA,699118,PowerSupply,,,,1,1,2,5A 24V Power Supply SVL 5-24-100,
SOLA,699119,PowerSupply,,,,1,1,2,10A 24V Power Supply SVL 10-24-100,
SOLA,699121,PowerSupply,,,,1,1,2,20A 24V Power Supply SVL 20-24-100,
BRAD HARRISON,22801,Receptacle,,,,1,1,2,Safety Block 2 Pin Receptacle,
BRAD HARRISON,22803,Receptacle,,,,1,1,2,Safety Block 2 Pin Plug,
BRAD HARRISON,43301,Receptacle,,,,1,1,2,Receptacle 90D Female 4P 25A 6,
CRH,DS23,Receptacle,,,,1,1,2,Duplex Rec Cover For Fs Box,
N/A,BC11C3,Receptacle,,,,1,1,2,Plate 1G Single 15A Recep,
N/A,CRO15W,Receptacle,,,,1,1,2,White Recpt 15A Smooth Face - Indust,
PHOENIX CONTACT,5500521,Receptacle,,,,1,1,2,120AC/ RJ45 Programming Port,
WINTRISS,2288301,SmartPac,,,,1,1,2,"3/4"" (SIZE 8) ROSS DM2",
WINTRISS,4170201,SmartPac,,,,1,1,2,RESOLVER,
WINTRISS,4217201,SmartPac,,,,1,1,2,"OFF, INCH, SINGLE, CONTINUOUS",
WINTRISS,4245203,SmartPac,,,,1,1,2,30ft. Shielded DSI/ Output Cable,
WINTRISS,4317301,SmartPac,,,,1,1,2,PROCAMPAC WITHOUT ENCLOSURE,
WINTRISS,4325501,SmartPac,,,,1,1,2,Aux. E-Stop Relay Output,
WINTRISS,4328501,SmartPac,,,,1,1,2,WPC  2000 30' Comms Cable,
WINTRISS,4328502,SmartPac,,,,1,1,2,WPC 2000 100' COMMS Cable,
WINTRISS,9631103,SmartPac,,,,1,1,2,30FT RESOLVER Cable,
WINTRISS,9631104,SmartPac,,,,1,1,2,100ft Resolver Cable,
WINTRISS,9631105,SmartPac,,,,1,1,2,RESOLVER Cable  OVERRUN LIMIT SW 75',
WINTRISS,9632801,SmartPac,,,,1,1,2,PROCAMPAC 8 CHANNELS,
WINTRISS,9644102,SmartPac,,,,1,1,2,AutoSet PAC 4 input W/O Enclosure,
WINTRISS,9647102,SmartPac,,,,1,1,2,Strain Link 100' Cable,
WINTRISS,9647102-1,SmartPac,,,,1,1,2,100 ft. Differential Strain Link,
WINTRISS,9677901,SmartPac,,,,1,1,2,DSI2,
WINTRISS,9677918,SmartPac,,,,1,1,2,DSI2 similar to 9677901 but without power supply.,
WINTRISS,9678202,SmartPac,,,,1,1,2,"ONE-HAND, TWO-HAND, FOOT WITH MUTED SHADOW",
WINTRISS,9680517,SmartPac,,,,1,1,2,"One Hand, Two Hand, Foot Non Muted with ACTS",
WINTRISS,9683403,SmartPac,,,,1,1,2,WPC2000 NO ENCLOSURE 24V,
WINTRISS,9684301,SmartPac,,,,1,1,2,Option #2 Board,
WINTRISS,9684302,SmartPac,,,,1,1,2,OPTION 2,
WINTRISS,9684402,SmartPac,,,,1,1,2,Standard w/Lube,
WINTRISS,9687202,SmartPac,,,,1,1,2,SMARTPAC PRO CONTROL PANEL MOUNT UPGRADE,
WINTRISS,9687210,SmartPac,,,,1,1,2,SMARTPAC PRO PM NO SW 24V,
WINTRISS,9688500,SmartPac,,,,1,1,2,Standard Firmware,
WINTRISS,9688619,SmartPac,,,,1,1,2,USB Back-UP,
WINTRISS,N/A,SmartPac,,,,1,1,2,STROKE SELECTOR SWITCH,
ALLEN BRADLEY,800T-2HRH2KB6AX,SelectorSwitch,,,,1,1,2,2-Position Switch 30mm I,
ALLEN BRADLEY,800T-J2A,SelectorSwitch,,,,1,1,2,Selector Switch,
ALLEN BRADLEY,800T-J91A,SelectorSwitch,,,,1,1,2,Selector Switch,
SCHNEIDER,ZB4BD2,SelectorSwitch,,,,1,1,2,"Selector Switch- 2P, Maintained",
SCHNEIDER,ZB4BD3,SelectorSwitch,,,,1,1,2,"Selector Switch- 3P, Maintained",
SCHNEIDER,ZB4BD5,SelectorSwitch,,,,1,1,2,"Three Pos Selector Switch, Spring Return",
SCHNEIDER,ZB4BG0,SelectorSwitch,,,,1,1,2,"Key Switch- 3P Maint, Key Rmv All",
SCHNEIDER,ZB4BG012,SelectorSwitch,,,,1,1,2,"Key Switch- 3P Maintained, Key Rmv All, Special Cut",
SCHNEIDER,ZB4BG2,SelectorSwitch,,,,1,1,2,"Key Switch- 2P Maintained, Key Rmv Left",
SCHNEIDER,ZB4BG4,SelectorSwitch,,,,1,1,2,"Key Switch- 2P Maintained, Key Rmv All",
SCHNEIDER,ZB4BG6,SelectorSwitch,,,,1,1,2,"Key Switch- 2P Spring To Left, Key Rmv Left",
SCHNEIDER,ZB4BG7,SelectorSwitch,,,,1,1,2,"Key Switch- 3P Spring To Center, Key Rmv Center",
SCHNEIDER,ZB4BK1233,SelectorSwitch,,,,1,1,2,"Two Pos Selector Switch, Illuminated - Green",
ALLEN BRADLEY,1756-TBS6H,Terminals,,,,1,1,2,CONTROLLOGIX 36 PIN SPRING TRM,
ALLEN BRADLEY,1756-TBSH,Terminals,,,,1,1,2,CONTROLLOGIX 20 PIN SPRING TRM,
WEIDMULLER,1010100000,Terminals,,,,1,1,2,Ground Terminal WPE4 (100/Pack),
WEIDMULLER,1020000000,Terminals,,,,1,1,2,Terminal Blocks,
WEIDMULLER,1020100000,Terminals,,,,1,1,2,WDU 4 Terminal Blocks 4mm,
WEIDMULLER,1041900000,Terminals,,,,1,1,2,2 Tier Terminal,
WEIDMULLER,1061200000,Terminals,,,,1,1,2,End Bracket For Terminal Block (100),
WEIDMULLER,1084000000,Terminals,,,,1,1,2,2 Tier Terminal End Cap,
WEIDMULLER,1211100000,Terminals,,,,1,1,2,Male Connector Screw Term 24P,
WEIDMULLER,1608940000,Terminals,,,,1,1,2,Terminal Jumper Bar (20/Pk),
WEIDMULLER,1609030000,Terminals,,,,1,1,2,"Cross-Conn Comb ZQV4/10 ""Cage Clamp Terminal""",
WEIDMULLER,1632050000,Terminals,,,,1,1,2,"Terminal Block Feed Through ZD ""Cage Clamp Terminal""",
WEIDMULLER,1632080000,Terminals,,,,1,1,2,"2-Pos # 26-10 W ""Cage Clamp Terminal""",
WEIDMULLER,1632090000,Terminals,,,,1,1,2,"Z-series, End plate, Seperation plate",
WEIDMULLER,1758260000,Terminals,,,,1,1,2,"2 Tier Terminal Jumper, 10P",
WEIDMULLER,2007200000,Terminals,,,,1,1,2,4mm Terminal Marker,
WEIDMULLER,7904100000,Terminals,,,,1,1,2,ZAP/TW4/3AN Divider,
WEIDMULLER,7904170000,Terminals,,,,1,1,2,ZPE 4/3AN PE Terminal 4mm,
WEIDMULLER,7904180000,Terminals,,,,1,1,2,"ZDU 4/3AN ""Cage Clamp Terminal""",
BELDEN,5MF-1401-B-02,Wire,,,,1,1,2,"UL3173, 14AWG, 41STR, TNC, Black",
N/A,1015-10/105-3,Wire,,,,1,1,2,"TEW, UL1015, 10AWG, 105STR, PVC, Orange",
N/A,1015BC-10/105-2-300,Wire,,,,1,1,2,"TEW 10AWG Stranded, Red",
N/A,1015BC-12/65-2-300,Wire,,,,1,1,2,"TEW 12AWG Stranded, Red",
N/A,1015BC-14/41-4-300,Wire,,,,1,1,2,"TEW 14AWG Stranded, Yellow",
N/A,1015BC-16/26-0-300,Wire,,,,1,1,2,"TEW 16AWG Stranded, Black",
N/A,1015BC-16/26-6,Wire,,,,1,1,2,"UL1015 16 26STR BC 2/64 PVC, Blue",
N/A,5MF-3031-EPDM,Wire,,,,1,1,2,3/0 3284 Prestolite,
N/A,6WA-1265-01,Wire,,,,1,1,2,"TEW 12AWG Stranded, White",
N/A,6WA-1441-02,Wire,,,,1,1,2,"TEW 14AWG Stranded, Black",
N/A,6WA-1441-04,Wire,,,,1,1,2,"TEW 14AWG Stranded, Green",
N/A,6WA-1441-06,Wire,,,,1,1,2,"TEW 14AWG Stranded, Blue",
N/A,6WA-1626-01-1500,Wire,,,,1,1,2,"TEW 16AWG Stranded, White",
N/A,6WA-1626-02,Wire,,,,1,1,2,"16-1C 26 STR BC PVC INS, Black",
N/A,6WA-1626-03-1500,Wire,,,,1,1,2,"TEW 16AWG Stranded, Red",
N/A,6WA-1626-04,Wire,,,,1,1,2,"TEW 16AWG Stranded, Green",
N/A,6WA-1626-05,Wire,,,,1,1,2,"TEW 16AWG Stranded, Yellow",
N/A,6WA-1626-08,Wire,,,,1,1,2,"TEW 16AWG Stranded, Orange",
N/A,6WA-1816-06-1500,Wire,,,,1,1,2,"TEW 18AWG Stranded, Blue",
N/A,T9014STRBLUX300,Wire,,,,1,1,2,Wire T90/TWN75 #14 Str Blue X,
N/A,T906GRN,Wire,,,,1,1,2,Wire T90/TWN75 6 Green,
NCS,TEW1626BLKX150,Wire,,,,1,1,2,Black 16AWG TEW,
PRESTOLITE,5MF-0401-EPDM,Wire,,,,1,1,2,4 AWG 3284 Prestolite,
PRESTOLITE,5MF-0801-EPDM,Wire,,,,1,1,2,UL3284 8AWG Black 133 STR TNC,
PRESTOLITE,5MF-1001-EPDM,Wire,,,,1,1,2,UL3284 10AWG Black 105 STR TNC,
PRESTOLITE,5MF-1011-EPDM,Wire,,,,1,1,2,1/0 Prestolite,
PRESTOLITE,5MF-1201-EPDM,Wire,,,,1,1,2,UL3284 12AWG Black 65 STR TNC,
BELDON,316-023-2204-FR,Wire,,,,1,1,2,"22-4C STR TNC SR-PVC, Grey",
TECK 90,7TK-2503AJ,Wire,,,,1,1,2,250-3C  TECK BC 1K XLPE INSS 1 #4 GND PVC JKT FT4 CSA,
COND,LIQ34-1,Wireway,,,,1,1,2,"3/4"" LIQUID TIGHT",
CRH,LT7590,Wireway,,,,1,1,2,"3/4"" LIQUID TIGHT CONNECTOR 90",
MISC,B40CSL3,Wireway,,,,1,1,2,Tray Divider C40 Series (10ft Sections),
N/A,C40LGSL3126,Wireway,,,,1,1,2,"6"" Ladder Tray (10ft)",
PANDUIT,C15LG6,Wireway,,,,1,1,2,"1.5"" Duct Cover (Per 6Ft)",
PANDUIT,C2LG6,Wireway,,,,1,1,2,"2"" Duct Cover (Per 6Ft)",
PANDUIT,C3LG6,Wireway,,,,1,1,2,"3"" Duct Cover (Per 6Ft)",
PANDUIT,C4LG6,Wireway,,,,1,1,2,"4"" Duct Cover (Per 6Ft)",
PANDUIT,F15X4LG6,Wireway,,,,1,1,2,"1.5"" X 4"" Wire Duct",
PANDUIT,F2X4LG6,Wireway,,,,1,1,2,"2"" X 4"" Wire Duct",
PANDUIT,F3X4LG6,Wireway,,,,1,1,2,"3"" X 4"" Wire Duct",
PANDUIT,F4X4LG6,Wireway,,,,1,1,2,"4""X 4"" Wire Duct",
TAB,AH1412L123,Wireway,,,,1,1,2,"Cable Tray Aluminum 3M 12"" SPA",
TAB,AHF412LHB9012,Wireway,,,,1,1,2,"Elbow 90 Degrees, Aluminum, Horizontal",
HPS,FS1000ACP,Transformer,,,,1,1,2,Control Transformer 1000VA 600/110,
HPS,FS2000ACP,Transformer,,,,1,1,2,Control Transformer 2000VA 600/110,
HPS,FS3000ACP,Transformer,,,,1,1,2,Control Transformer 3000VA 600/110,
HPS,FS500ACP,Transformer,,,,1,1,2,Control Transformer 500VA 600/110,
HPS,FS750ACP,Transformer,,,,1,1,2,Control Transformer 750VA 600/110,
HPS,SP1000ACP,Transformer,,,,1,1,2,Control Transformer 1000VA 600/110,
HPS,SP2000ACP,Transformer,,,,1,1,2,Control Transformer 2000VA 600/110,
HPS,SP250ACP,Transformer,,,,1,1,2,Control Transformer 250VA 600/110,
HPS,SP3000ACP,Transformer,,,,1,1,2,Control Transformer 3000VA 600/110,
HPS,SP500ACP,Transformer,,,,1,1,2,Control Transformer 500VA 600/110,
HPS,SP750ACP,Transformer,,,,1,1,2,Control Transformer 750VA 600/110,
